"","Species"
"129","Benthobatis kreffti"
"130","Benthobatis marcida"
"131","Benthobatis moresbyi"
"132","Benthobatis yangi"
"133","Brachaelurus colcloughi"
"134","Brachaelurus waddi"
"135","Breviraja claramaculata"
"136","Breviraja colesi"
"137","Breviraja nigriventralis"
"138","Breviraja spinosa"
"139","Brochiraja aenigma"
"140","Brochiraja albilabiata"
"141","Brochiraja asperula"
"142","Brochiraja heuresa"
"143","Brochiraja leviveneta"
"144","Brochiraja microspinifera"
"145","Brochiraja spinifera"
"146","Brochiraja vittacauda"
"147","Bythaelurus alcockii"
"148","Bythaelurus canescens"
"149","Bythaelurus clevai"
"150","Bythaelurus dawsoni"
"151","Bythaelurus giddingsi"
"152","Bythaelurus hispidus"
"153","Bythaelurus immaculatus"
"154","Bythaelurus incanus"
"155","Bythaelurus lutarius"
"156","Carcharhinus acronotus"
"157","Carcharhinus albimarginatus"
"158","Carcharhinus altimus"
"159","Carcharhinus amblyrhynchoides"
"160","Carcharhinus amblyrhynchos"
"161","Carcharhinus amboinensis"
"162","Carcharhinus borneensis"
"163","Carcharhinus brachyurus"
"164","Carcharhinus brevipinna"
"165","Carcharhinus cautus"
"166","Carcharhinus cerdale"
"167","Carcharhinus coatesi"
"168","Carcharhinus dussumieri"
"169","Carcharhinus falciformis"
"170","Carcharhinus fitzroyensis"
"171","Carcharhinus galapagensis"
"172","Carcharhinus hemiodon"
"173","Carcharhinus isodon"
"174","Carcharhinus leiodon"
"175","Carcharhinus leucas"
"176","Carcharhinus limbatus"
"177","Carcharhinus longimanus"
"178","Carcharhinus macloti"
"179","Carcharhinus melanopterus"
"180","Carcharhinus obscurus"
"181","Carcharhinus perezi"
"182","Carcharhinus plumbeus"
"183","Carcharhinus porosus"
"184","Carcharhinus sealei"
"185","Carcharhinus signatus"
"186","Carcharhinus sorrah"
"187","Carcharhinus tilstoni"
"188","Carcharhinus tjutjot"
"189","Carcharias taurus"
"190","Carcharodon carcharias"
"191","Centrophorus atromarginatus"
"192","Centrophorus granulosus"
"193","Centrophorus harrissoni"
"194","Centrophorus isodon"
"195","Centrophorus moluccensis"
"196","Centrophorus seychellorum"
"197","Centrophorus squamosus"
"198","Centrophorus tessellatus"
"199","Centrophorus westraliensis"
"200","Centroscyllium excelsum"
"201","Centroscyllium fabricii"
"202","Centroscyllium granulatum"
"203","Centroscyllium kamoharai"
"204","Centroscyllium nigrum"
"205","Centroscyllium ornatum"
"206","Centroscyllium ritteri"
"207","Centroscymnus coelolepis"
"208","Centroscymnus crepidater"
"209","Centroscymnus owstonii"
"210","Centroscymnus plunketi"
"211","Cephaloscyllium albipinnum"
"212","Cephaloscyllium cooki"
"213","Cephaloscyllium fasciatum"
"214","Cephaloscyllium hiscosellum"
"215","Cephaloscyllium isabellum"
"216","Cephaloscyllium laticeps"
"217","Cephaloscyllium pictum"
"218","Cephaloscyllium sarawakensis"
"219","Cephaloscyllium signourum"
"220","Cephaloscyllium silasi"
"221","Cephaloscyllium speccum"
