"","Species"
"934","Taeniura lymma"
"935","Taeniurops meyeni"
"936","Temera hardwickii"
"937","Tetronarce californica"
"938","Tetronarce formosa"
"939","Tetronarce puelcha"
"940","Tetronarce tokionis"
"941","Tetronarce tremens"
"942","Torpedo adenensis"
"943","Torpedo andersoni"
"944","Torpedo bauchotae"
"945","Torpedo fuscomaculata"
"946","Torpedo mackayana"
"947","Torpedo marmorata"
"948","Tetronarce nobiliana"
"949","Torpedo panthera"
"950","Torpedo sinuspersici"
"951","Torpedo suessii"
"952","Torpedo torpedo"
"953","Triaenodon obesus"
"954","Triakis acutipinna"
"955","Triakis maculata"
"956","Triakis megalopterus"
"957","Triakis scyllium"
"958","Triakis semifasciata"
"959","Trigonognathus kabeyai"
"960","Trygonoptera galba"
"961","Trygonoptera imitata"
"962","Trygonoptera mucosa"
"963","Trygonoptera ovalis"
"964","Trygonoptera personata"
"965","Trygonoptera testacea"
"966","Trygonorrhina dumerilii"
"967","Trygonorrhina fasciata"
"968","Typhlonarke aysoni"
"969","Urobatis concentricus"
"970","Urobatis halleri"
"971","Urobatis jamaicensis"
"972","Urobatis maculatus"
"973","Urobatis tumbesensis"
"974","Urogymnus asperrimus"
"975","Urolophus armatus"
"976","Urolophus aurantiacus"
"977","Urolophus bucculentus"
"978","Urolophus circularis"
"979","Urolophus cruciatus"
"980","Urolophus deforgesi"
"981","Urolophus expansus"
"982","Urolophus flavomosaicus"
"983","Urolophus gigas"
"984","Urolophus javanicus"
"985","Urolophus kapalensis"
"986","Urolophus lobatus"
"987","Urolophus mitosis"
"988","Urolophus neocaledoniensis"
"989","Urolophus orarius"
"990","Urolophus papilio"
"991","Urolophus paucimaculatus"
"992","Urolophus piperatus"
"993","Urolophus sufflavus"
"994","Urolophus viridis"
"995","Urolophus westraliensis"
"996","Urotrygon aspidura"
"997","Urotrygon chilensis"
"998","Urotrygon cimar"
"999","Urotrygon microphthalmum"
"1000","Urotrygon munda"
"1001","Urotrygon nana"
"1002","Urotrygon reticulata"
"1003","Urotrygon rogersi"
"1004","Urotrygon simulatrix"
"1005","Urotrygon venezuelae"
"1006","Zameus ichiharai"
"1007","Zameus squamulosus"
"1008","Zanobatus schoenleinii"
"1009","Zapteryx brevirostris"
"1010","Zapteryx exasperata"
"1011","Zapteryx xyster"
"1012","Zearaja argentinensis"
"1013","Zearaja chilensis"
"1014","Zearaja maugeana"
"1015","Zearaja nasuta"
