"","Species","FUSE","FUn","FSp","Order","Superorder","iucn","ext_prob100","iucn_status","ED2","EDGE2","iucn_cat2"
"147","Bythaelurus alcockii",0.000402278124659866,5.83737571498419e-05,0.230013038153075,"Carcharhiniformes","Selachii","0",0.001748844,"LC",14.9515703310727,0.0261479640640745,"NoT"
"148","Bythaelurus canescens",0.0191335471936094,2.93338317950441e-05,0.193147765144211,"Carcharhiniformes","Selachii","2",0.1,"VU",19.7098053405607,1.97098053405607,"AT"
"149","Bythaelurus clevai",0.000577259897221554,0.00942132020962817,0.320749524922043,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.8589970743976,0.0242372238795778,"NoT"
"150","Bythaelurus dawsoni",0.000375912720120723,5.76500473938335e-06,0.214983896949517,"Carcharhiniformes","Selachii","0",0.001748844,"LC",18.7203942643112,0.032739049186775,"NoT"
"151","Bythaelurus giddingsi",0.000371406220498336,7.98984524360902e-06,0.212403863434782,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.6617357453321,0.0238922445878096,"NoT"
"152","Bythaelurus hispidus",0.00309943671975755,4.08897850884009e-05,0.220165535513418,"Carcharhiniformes","Selachii","1",0.014096969,"NT",12.9140131596444,0.182048443177099,"NoT"
"153","Bythaelurus immaculatus",0.000346546821055782,0,0.198191991591237,"Carcharhiniformes","Selachii","0",0.001748844,"LC",14.4293720376487,0.0252347207118097,"NoT"
"154","Bythaelurus incanus",0.000371406220498336,7.98984524360902e-06,0.212403863434782,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.4831287885096,0.0218310448830123,"NoT"
"155","Bythaelurus lutarius",0.000381114871523289,2.17614975833363e-05,0.217943643374019,"Carcharhiniformes","Selachii","0",0.001748844,"LC",16.176407632637,0.0282900134298915,"NoT"
"156","Carcharhinus acronotus",0.116873702854163,0.00016977300850285,0.184211666205232,"Carcharhiniformes","Selachii","3",0.67232,"EN",14.8350717914992,9.97391546686073,"AT"
"157","Carcharhinus albimarginatus",0.0203207154077602,0.000782513823466729,0.20448735265106,"Carcharhiniformes","Selachii","2",0.1,"VU",24.3138182161427,2.43138182161427,"AT"
"158","Carcharhinus altimus",0.00288953600999515,0.000782513823466729,0.20448735265106,"Carcharhiniformes","Selachii","1",0.014096969,"NT",15.777801087192,0.222419172814313,"NoT"
"159","Carcharhinus amblyrhynchoides",0.0740715235649963,0.385863577758664,0.368746106180731,"Carcharhiniformes","Selachii","2",0.1,"VU",4.83350160627872,0.483350160627872,"AT"
"160","Carcharhinus amblyrhynchos",0.127040533642375,0.0011331337718538,0.200200308930654,"Carcharhiniformes","Selachii","3",0.67232,"EN",22.5359030730435,15.1513383540686,"AT"
"161","Carcharhinus amboinensis",0.0430977201926305,0.000992314032022507,0.439363223812351,"Carcharhiniformes","Selachii","2",0.1,"VU",15.5672613853018,1.55672613853018,"AT"
"162","Carcharhinus borneensis",0.556716767021544,0.391232612111759,0.254829416133186,"Carcharhiniformes","Selachii","4",0.999023438,"CR",22.3144422358784,22.2926507995396,"AT"
"163","Carcharhinus brachyurus",0.088753008786445,0.27854168259295,0.631962608061254,"Carcharhiniformes","Selachii","2",0.1,"VU",16.6179816342852,1.66179816342852,"AT"
"164","Carcharhinus brevipinna",0.0751718011551754,0.387058285272672,0.378966969537207,"Carcharhiniformes","Selachii","2",0.1,"VU",17.2993919859959,1.72993919859959,"AT"
"165","Carcharhinus cautus",0.000719450432448144,0.000192549530328355,0.411341616322425,"Carcharhiniformes","Selachii","0",0.001748844,"LC",11.0175860985195,0.0192680393428792,"NoT"
"166","Carcharhinus cerdale",0.342612630147774,0.00013438549546631,0.408833160821716,"Carcharhiniformes","Selachii","4",0.999023438,"CR",13.6064855010909,13.593197924397,"AT"
"167","Carcharhinus coatesi",0.000289008235406916,2.17917456347449e-05,0.165258811496482,"Carcharhiniformes","Selachii","0",0.001748844,"LC",14.1606741685876,0.0247648100556894,"NoT"
"168","Carcharhinus dussumieri",0.107772471991823,4.67472607898037e-05,0.16920408835625,"Carcharhiniformes","Selachii","3",0.67232,"EN",16.1604943592666,10.8650235676221,"AT"
"169","Carcharhinus falciformis",0.0397447181488711,0.0252503358849648,0.379243142468082,"Carcharhiniformes","Selachii","2",0.1,"VU",23.5891520737025,2.35891520737025,"AT"
"170","Carcharhinus fitzroyensis",0.000714557715097319,0.000155432192049924,0.408579067882792,"Carcharhiniformes","Selachii","0",0.001748844,"LC",29.6657027811592,0.0518806863146135,"NoT"
"171","Carcharhinus galapagensis",0.00125621730266838,0.395294440889983,0.323246419423994,"Carcharhiniformes","Selachii","0",0.001748844,"LC",18.7579284107786,0.0328046905536197,"NoT"
"172","Carcharhinus hemiodon",0.410435328768879,0.0106299659442979,0.492113941362646,"Carcharhiniformes","Selachii","4",0.999023438,"CR",18.0669619746755,18.0493184661555,"AT"
"173","Carcharhinus isodon",0.00270672770804111,0.00133112868700206,0.190933158455293,"Carcharhiniformes","Selachii","1",0.014096969,"NT",21.9025033008266,0.308758910054151,"NoT"
"174","Carcharhinus leiodon",0.409786019061658,0.390907838764777,0.287014924995485,"Carcharhiniformes","Selachii","3",0.67232,"EN",5.329943456435,3.58342758463038,"AT"
"175","Carcharhinus leucas",0.0810131858648009,0.205880375542735,0.625101952279143,"Carcharhiniformes","Selachii","2",0.1,"VU",18.8799023617253,1.88799023617253,"AT"
"176","Carcharhinus limbatus",0.043214395449541,0.0010811049148247,0.44048861743528,"Carcharhiniformes","Selachii","2",0.1,"VU",6.04792488227947,0.604792488227947,"AT"
"177","Carcharhinus longimanus",0.650782171179763,0.333149306165718,0.438757725386825,"Carcharhiniformes","Selachii","4",0.999023438,"CR",15.0361641611504,15.0214804146049,"AT"
"178","Carcharhinus macloti",0.00483098500922923,0.00814386686632307,0.335343468322954,"Carcharhiniformes","Selachii","1",0.014096969,"NT",27.6516634755101,0.389804642812699,"NoT"
"179","Carcharhinus melanopterus",0.0509464011774702,0.0091667676384138,0.513027866904295,"Carcharhiniformes","Selachii","2",0.1,"VU",8.93947741949092,0.893947741949091,"AT"
"180","Carcharhinus obscurus",0.137585102564885,0.00198501266650503,0.21711385499631,"Carcharhiniformes","Selachii","3",0.67232,"EN",1.89813353612093,1.27615313900482,"AT"
"181","Carcharhinus perezi",0.570602586939721,0.482605201650002,0.499590753060954,"Carcharhiniformes","Selachii","3",0.67232,"EN",25.9762656650408,17.4643629319203,"AT"
"182","Carcharhinus plumbeus",0.237415366346416,0.0262585991729868,0.365854176658063,"Carcharhiniformes","Selachii","3",0.67232,"EN",5.71326156925457,3.84114001824123,"AT"
"183","Carcharhinus porosus",0.341732292759765,0.000342612139520079,0.407299682767278,"Carcharhiniformes","Selachii","4",0.999023438,"CR",15.1420385521233,15.1272514126708,"AT"
"184","Carcharhinus sealei",0.0163291498589296,1.879640373091e-05,0.164612884874174,"Carcharhiniformes","Selachii","2",0.1,"VU",22.0861784762161,2.20861784762161,"AT"
