"","Species","Family","Order","Superorder","habitat","vertical","terrestriality","thermo","feeding","diet","max.length","type of length"
"310","Dipturus doutrei","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","115","TL"
"311","Dipturus endeavouri","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","37","TL"
"312","Dipturus falloargus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","49","TL"
"313","Dipturus flindersi","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","33","TL"
"314","Dipturus garricki","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","107","TL"
"315","Dipturus gigas","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","186","TL"
"316","Dipturus grahami","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","64","TL"
"317","Dipturus gudgeri","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","fish","184","TL"
"318","Dipturus healdi","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","72","TL"
"319","Dipturus innominatus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","240","TL"
"320","Dipturus johannisdavisi","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","54","TL"
"321","Dipturus laevis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","163","TL"
"322","Dipturus lanceorostratus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","82","TL"
"323","Dipturus macrocauda","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","130","TL"
"324","Dipturus melanospilus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","78","TL"
"325","Dipturus mennii","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","167","TL"
"326","Dipturus nidarosiensis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","250","TL"
"327","Dipturus oculus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","56","TL"
"328","Dipturus olseni","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","69","TL"
"329","Dipturus oregoni","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","144","TL"
"330","Dipturus oxyrinchus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"331","Dipturus polyommata","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","38","TL"
"332","Dipturus pullopunctatus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","130","TL"
"333","Dipturus queenslandicus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","76","TL"
"334","Dipturus springeri","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","192","TL"
"335","Dipturus stenorhynchus","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","101","TL"
"336","Dipturus teevani","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","84","TL"
"337","Dipturus tengu","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","113","TL"
"338","Dipturus trachyderma","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","264","TL"
"339","Dipturus wengi","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","fish","128","TL"
"340","Discopyge castelloi","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","31","TL"
"341","Discopyge tschudii","Narcinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","55","TL"
"342","Echinorhinus brucus","Echinorhinidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","394","TL"
"343","Echinorhinus cookei","Echinorhinidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","450","TL"
"344","Electrolux addisoni","Narkidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","52","TL"
"345","Eridacnis barbouri","Proscylliidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","34","TL"
"346","Eridacnis radcliffei","Proscylliidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","26","TL"
"347","Eridacnis sinuans","Proscylliidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","37","TL"
"348","Etmopterus bigelowi","Etmopteridae","Squaliformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","73","TL"
"349","Etmopterus brachyurus","Etmopteridae","Squaliformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","50","TL"
"350","Etmopterus bullisi","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts","30","TL"
"351","Etmopterus burgessi","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","fish","41","TL"
"352","Etmopterus carteri","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","21","TL"
"353","Etmopterus caudistigmus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","34","TL"
"354","Etmopterus compagnoi","Etmopteridae","Squaliformes","Selachii","offshore","benthopelagic","no","ecto","macropredator","inverts/fish","67","TL"
"355","Etmopterus decacuspidatus","Etmopteridae","Squaliformes","Selachii","offshore","benthopelagic","no","ecto","macropredator","NA","29","TL"
"356","Etmopterus dianthus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","41","TL"
"357","Etmopterus dislineatus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","45","TL"
"358","Etmopterus evansi","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","NA","34","TL"
"359","Etmopterus fusus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","30","TL"
"360","Etmopterus gracilispinis","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","33","TL"
"361","Etmopterus hillianus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","30","TL"
"362","Etmopterus litvinovi","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","61","TL"
"363","Etmopterus lucifer","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","47","TL"
"364","Etmopterus molleri","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","46","TL"
"365","Etmopterus perryi","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","21","TL"
"366","Etmopterus polli","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","24","TL"
"367","Etmopterus princeps","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","94","TL"
"368","Etmopterus pseudosqualiolus","Etmopteridae","Squaliformes","Selachii","offshore","benthopelagic","no","ecto","macropredator","inverts/fish","45","TL"
"369","Etmopterus pusillus","Etmopteridae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","50","TL"
"370","Etmopterus pycnolepis","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","46","TL"
"371","Etmopterus robinsi","Etmopteridae","Squaliformes","Selachii","offshore","benthopelagic","no","ecto","macropredator","NA","34","TL"
"372","Etmopterus schultzi","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","30","TL"
"373","Etmopterus sculptus","Etmopteridae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","59","TL"
"374","Etmopterus sentosus","Etmopteridae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","NA","27","TL"
"375","Etmopterus spinax","Etmopteridae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","55","TL"
"376","Etmopterus splendidus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","31","TL"
"377","Etmopterus unicolor","Etmopteridae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","NA","79","TL"
"378","Etmopterus viator","Etmopteridae","Squaliformes","Selachii","offshore","benthic","no","ecto","macropredator","NA","58","TL"
"379","Etmopterus villosus","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","65.2","TL"
"380","Etmopterus virens","Etmopteridae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts","26","TL"
"381","Eucrossorhinus dasypogon","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","125","TL"
"382","Euprotomicroides zantedeschia","Dalatiidae","Squaliformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","53","TL"
"383","Euprotomicrus bispinatus","Dalatiidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","inverts/fish","27","TL"
"384","Eusphyra blochii","Sphyrnidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","186","TL"
"385","Fenestraja atripinna","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","29","TL"
"386","Fenestraja cubensis","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","30","TL"
"387","Fenestraja ishiyamai","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","36","TL"
"388","Fenestraja maceachrani","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","42","TL"
"389","Fenestraja mamillidens","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","29","TL"
"390","Fenestraja plutonia","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","27","TL"
"391","Fenestraja sinusmexicanus","Gurgesiellidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","36","TL"
"392","Figaro boardmani","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","61","TL"
"393","Figaro striatus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","42","TL"
"394","Furgaleus macki","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","160","TL"
"395","Galeocerdo cuvier","Carcharhinidae","Carcharhiniformes","Selachii","all","benthopelagic","brackish","ecto","macropredator","inverts/fish/high verts","740","TL"
"396","Galeorhinus galeus","Triakidae","Carcharhiniformes","Selachii","all","benthopelagic","brackish","ecto","macropredator","inverts/fish","195","TL"
"397","Galeus antillensis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","46","TL"
"398","Galeus arae","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","33","TL"
"399","Galeus atlanticus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","46","TL"
"400","Galeus eastmani","Scyliorhinidae","Carcharhiniformes","Selachii","offshore","benthic","no","ecto","macropredator","inverts/fish","50","TL"
"401","Galeus gracilis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","34","TL"
"402","Galeus longirostris","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","80","TL"
"403","Galeus melastomus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","90","TL"
"404","Galeus mincaronei","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","43","TL"
"405","Galeus murinus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","63","TL"
"406","Galeus nipponensis","Scyliorhinidae","Carcharhiniformes","Selachii","offshore","benthic","no","ecto","macropredator","inverts/fish","76","TL"
"407","Galeus piperatus","Scyliorhinidae","Carcharhiniformes","Selachii","offshore","benthic","no","ecto","macropredator","inverts/fish","37","TL"
"408","Galeus polli","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","43","TL"
"409","Galeus priapus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","46","TL"
"410","Galeus sauteri","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","50","TL"
"411","Galeus schultzi","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","30","TL"
"412","Galeus springeri","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","53","TL"
"413","Ginglymostoma cirratum","Ginglymostomatidae","Orectolobiformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish","308","TL"
"414","Glaucostegus cemiculus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","265","TL"
"415","Glaucostegus granulatus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","229","TL"
"416","Glaucostegus halavi","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","171","TL"
"417","Glaucostegus obtusus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","93","TL"
"418","Glaucostegus thouin","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","300","TL"
"419","Glaucostegus typus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","270","TL"
"420","Glyphis gangeticus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","fish","275","TL"
"421","Glyphis garricki","Carcharhinidae","Carcharhiniformes","Selachii","shelf","pelagic","brackish","ecto","macropredator","fish","251","TL"
"422","Glyphis glyphis","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish","260","TL"
"423","Gollum attenuatus","Pseudotriakidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","110","TL"
"424","Gurgesiella atlantica","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","52","TL"
"425","Gurgesiella dorsalifera","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","53","TL"
"426","Gurgesiella furvescens","Gurgesiellidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","57","TL"
"427","Gymnura altavela","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","260","DW"
"428","Gymnura australis","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","94","DW"
"429","Gymnura crebripunctata","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","fish","81","DW"
"430","Gymnura japonica","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","fish","145","DW"
"431","Gymnura marmorata","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","150","DW"
"432","Gymnura micrura","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","110","DW"
"433","Gymnura natalensis","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","250","DW"
"434","Gymnura poecilura","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","fish","104","DW"
"435","Gymnura tentaculata","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","fish","76","DW"
"436","Gymnura zonura","Gymnuridae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","108","DW"
"437","Halaelurus boesemani","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","fish","48","TL"
"438","Halaelurus buergeri","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","49","TL"
"439","Halaelurus lineatus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","56","TL"
"440","Halaelurus maculosus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","53","TL"
"441","Halaelurus natalensis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","50","TL"
"442","Halaelurus quagga","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","37","TL"
"443","Halaelurus sellus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","42","TL"
"444","Haploblepharus edwardsii","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","64","TL"
"445","Haploblepharus fuscus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","69","TL"
"446","Haploblepharus kistnasamyi","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","50","TL"
"447","Haploblepharus pictus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","70","TL"
"448","Hemigaleus australiensis","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","110","TL"
"449","Hemigaleus microstoma","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","114","TL"
"450","Hemipristis elongata","Hemigaleidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","240","TL"
"451","Hemiscyllium freycineti","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","69","TL"
"452","Hemiscyllium galei","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","57","TL"
"453","Hemiscyllium hallstromi","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","77","TL"
"454","Hemiscyllium henryi","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","82","TL"
"455","Hemiscyllium michaeli","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","70","SL"
"456","Hemiscyllium ocellatum","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","107","TL"
"457","Hemiscyllium strahani","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","NA","80","TL"
"458","Hemiscyllium trispeculare","Hemiscylliidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","79","TL"
"459","Hemitriakis abdita","Triakidae","Carcharhiniformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","80","TL"
"460","Hemitriakis complicofasciata","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","93","TL"
"461","Hemitriakis falcata","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","80","TL"
"462","Hemitriakis japanica","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","120","TL"
"463","Hemitriakis leucoperiptera","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","96","TL"
"464","Heptranchias perlo","Hexanchidae","Hexanchiformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","139","TL"
"465","Heterodontus francisci","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","122","TL"
"466","Heterodontus galeatus","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","130","TL"
"467","Heterodontus japonicus","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"468","Heterodontus mexicanus","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","74","TL"
"469","Heterodontus omanensis","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","61","TL"
"470","Heterodontus portusjacksoni","Heterodontidae","Heterodontiformes","Selachii","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","165","TL"
"471","Heterodontus quoyi","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","105","SL"
"472","Heterodontus ramalheira","Heterodontidae","Heterodontiformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts","83","TL"
"473","Heterodontus zebra","Heterodontidae","Heterodontiformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","122","TL"
"474","Heteronarce bentuviai","Narkidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","20","TL"
"475","Heteronarce garmani","Narkidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","30","TL"
"476","Heteronarce mollis","Narkidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","30","TL"
"477","Heteronarce prabhui","Narkidae","Torpediniformes","Batoidea","offshore","benthic","no","ecto","macropredator","NA","22","TL"
"478","Heteroscymnoides marleyi","Dalatiidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","inverts/fish","37","TL"
"479","Hexanchus griseus","Hexanchidae","Hexanchiformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish/high verts","550","TL"
"480","Hexanchus nakamurai","Hexanchidae","Hexanchiformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","180","TL"
"481","Hexatrygon bickelli","Hexatrygonidae","Myliobatiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","170","TL"
"482","Himantura astra","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","80","DW"
"483","Himantura dalyensis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish","124","DW"
"484","Himantura fai","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","146","DW"
"485","Himantura gerrardi","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","116","TL"
"486","Himantura granulata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","141","DW"
"487","Himantura hortlei","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","71","DW"
"488","Himantura imbricata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","23","DW"
"489","Himantura jenkinsii","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","150","DW"
"490","Himantura kittipongi","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","37","DW"
"491","Himantura leoparda","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","140","DW"
"492","Himantura lobistoma","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","100","DW"
"493","Himantura oxyrhyncha","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","37","DW"
"494","Himantura pacifica","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","60","DW"
"495","Himantura pastinacoides","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","86","DW"
"496","Himantura polylepis","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","223","DW"
"497","Himantura randalli","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","62","DW"
"498","Himantura schmardae","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","180","DW"
"499","Himantura signifer","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts","37","DW"
"500","Himantura toshi","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","82","DW"
"501","Himantura uarnacoides","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","119","DW"
"502","Himantura uarnak","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","160","DW"
"503","Himantura undulata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","130","DW"
"504","Himantura walga","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","32","DW"
"505","Holohalaelurus favus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","52","TL"
"506","Holohalaelurus grennian","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","27","TL"
"507","Holohalaelurus melanostigma","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","38","TL"
"508","Holohalaelurus punctatus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","36","TL"
"509","Holohalaelurus regani","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","69","TL"
"510","Hongeo koreana","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","84","TL"
"511","Hypnos monopterygius","Hypnidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","63","TL"
"512","Hypogaleus hyugaensis","Triakidae","Carcharhiniformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts","150","TL"
"513","Iago garricki","Triakidae","Carcharhiniformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts","75","TL"
"514","Iago omanensis","Triakidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","89","TL"
"515","Indobatis ori","Anacanthobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","inverts/fish","43","TL"
