"","Species","Family","Order","Superorder","habitat","vertical","terrestriality","thermo","feeding","diet","max.length","type of length"
"757","Raja eglanteria","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","84","TL"
"758","Raja equatorialis","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","88","TL"
"759","Raja herwigi","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","55","TL"
"760","Raja inornata","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts","76","TL"
"761","Raja maderensis","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","80","TL"
"762","Raja microocellata","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","103","TL"
"763","Raja miraletus","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","60","TL"
"764","Raja montagui","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","80","TL"
"765","Raja polystigma","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","71","TL"
"766","Raja pulchra","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","115","TL"
"767","Raja radula","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","70","TL"
"768","Raja rhina","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","fish","180","TL"
"769","Raja stellulata","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","76","TL"
"770","Raja straeleni","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","91","TL"
"771","Raja texana","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","63","DW"
"772","Raja undulata","Rajidae","Rajiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","120","TL"
"773","Raja velezi","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","83","TL"
"774","Rajella annandalei","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","33","TL"
"775","Rajella barnardi","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","75","TL"
"776","Rajella bathyphila","Rajidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","95","TL"
"777","Rajella bigelowi","Rajidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","inverts","55","TL"
"778","Rajella caudaspinosa","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","65","TL"
"779","Rajella challengeri","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","56","TL"
"780","Rajella dissimilis","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","82","TL"
"781","Rajella eisenhardti","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","39","TL"
"782","Rajella fuliginea","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","45","TL"
"783","Rajella fyllae","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","56","TL"
"784","Rajella kukujevi","Rajidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","84","TL"
"785","Rajella leoparda","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","95","DW"
"786","Rajella lintea","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","125","TL"
"787","Rajella nigerrima","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","46","TL"
"788","Rajella purpuriventralis","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","65","DW"
"789","Rajella ravidula","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","79","TL"
"790","Rajella sadowskii","Rajidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","75","TL"
"791","Rhina ancylostoma","Rhinidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","270","TL"
"792","Rhincodon typus","Rhincodontidae","Orectolobiformes","Selachii","all","pelagic","no","ecto","filter feeder","plankton/fish","2100","TL"
"793","Rhinobatos albomaculatus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","80","TL"
"794","Rhinobatos annandalei","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","80","TL"
"795","Rhinobatos glaucostigma","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","89","TL"
"796","Rhinobatos holcorhynchus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","127","TL"
"797","Rhinobatos horkelii","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","138","TL"
"798","Rhinobatos hynnicephalus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","62","TL"
"799","Rhinobatos irvinei","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","100","TL"
"800","Rhinobatos jimbaranensis","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","99","TL"
"801","Rhinobatos lentiginosus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","78","TL"
"802","Rhinobatos leucorhynchus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","70","TL"
"803","Rhinobatos lionotus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","75","TL"
"804","Rhinobatos nudidorsalis","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","50","TL"
"805","Rhinobatos penggali","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","99","TL"
"806","Rhinobatos percellens","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","100","TL"
"807","Rhinobatos planiceps","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","114","TL"
"808","Rhinobatos prahli","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","90","TL"
"809","Rhinobatos productus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","170","TL"
"810","Rhinobatos punctifer","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","88","TL"
"811","Rhinobatos rhinobatos","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","100","TL"
"812","Rhinobatos sainsburyi","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","60","TL"
"813","Rhinobatos schlegelii","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","100","TL"
"814","Rhinoptera bonasus","Rhinopteridae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","213","DW"
"815","Rhinoptera brasiliensis","Rhinopteridae","Myliobatiformes","Batoidea","shelf","benthopelagic","no","ecto","macropredator","inverts","104","DW"
"816","Rhinoptera javanica","Rhinopteridae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts","150","DW"
"817","Rhinoptera marginata","Rhinopteridae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts","102","DW"
"818","Rhinoptera neglecta","Rhinopteridae","Myliobatiformes","Batoidea","shelf","benthopelagic","no","ecto","macropredator","NA","130","DW"
"819","Rhinoptera steindachneri","Rhinopteridae","Myliobatiformes","Batoidea","shelf","benthopelagic","no","ecto","macropredator","inverts","104","DW"
"820","Rhinoraja kujiensis","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","104","TL"
"821","Rhinoraja longicauda","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","69","TL"
"822","Rhinoraja odai","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","60","TL"
"823","Rhizoprionodon acutus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish","178","TL"
"824","Rhizoprionodon lalandii","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","102","TL"
"825","Rhizoprionodon longurio","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","154","TL"
"826","Rhizoprionodon oligolinx","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","88","TL"
"827","Rhizoprionodon porosus","Carcharhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","freshwater","ecto","macropredator","inverts/fish","110","TL"
"828","Rhizoprionodon taylori","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","88","TL"
"829","Rhizoprionodon terraenovae","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","113","TL"
"830","Rhynchobatus australiae","Rhynchobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","300","TL"
"831","Rhynchobatus djiddensis","Rhynchobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","310","TL"
"832","Rhynchobatus laevis","Rhynchobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","200","TL"
"833","Rhynchobatus luebberti","Rhynchobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","300","TL"
"834","Rhynchobatus palpebratus","Rhynchobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","262","TL"
"835","Rhynchobatus springeri","Rhynchobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","213","TL"
"836","Rioraja agassizii","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","71","DW"
"837","Rostroraja alba","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","240","TL"
"838","Schroederichthys bivius","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts","86","TL"
"839","Schroederichthys chilensis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts","70","TL"
"840","Schroederichthys maculatus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","35","TL"
"841","Schroederichthys saurisqualus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","69","TL"
"842","Schroederichthys tenuis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","47","TL"
"843","Scoliodon laticaudus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthopelagic","freshwater","ecto","macropredator","inverts/fish","74","TL"
"844","Scoliodon macrorhynchos","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthic","freshwater","ecto","macropredator","inverts/fish","71","TL"
"845","Scyliorhinus boa","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","54","TL"
"846","Scyliorhinus canicula","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","80","TL"
